Date,Close,Polarity,Prediction,Subjectivity,
08/06/2020,43.11,0.09546033,0,0.591363487,
11/06/2020,44.16,0.101988607,0,0.581124087,
12/06/2020,43.41,0.115811197,0,0.590919452,
13/06/2020,42.92,0.109327536,0,0.567480336,
14/06/2020,43.08,0.131354575,0,0.586718779,
15/06/2020,42.77,0.092061911,0,0.575777033,
18/06/2020,42.44,0.096604903,0,0.579627761,
19/06/2020,41.51,0.099026771,0,0.574936481,
20/06/2020,42.03,0.106593372,0,0.575830838,
21/06/2020,41.49,0.074312692,0,0.593191711,
22/06/2020,41.35,0.124311916,0,0.57076316,
25/06/2020,39.68,0.092064498,0,0.571532372,
26/06/2020,39.09,0.108243198,0,0.583896791,
27/06/2020,38.26,0.117689504,0,0.592232938,
28/06/2020,38.2,0.113801971,0,0.582617012,
29/06/2020,37.96,0.112036061,0,0.592176815,
02/07/2020,38.36,0.081529689,0,0.566911782,
03/07/2020,37.75,0.102765707,0,0.580261302,
05/07/2020,37.99,0.14015081,0,0.595700622,
06/07/2020,38.09,0.117620097,0,0.590120248,
09/07/2020,39.31,0.139318419,0,0.57836231,
10/07/2020,39.12,0.133098352,0,0.565702502,
11/07/2020,35.96,0.139195047,0,0.583434885,
12/07/2020,36.33,0.110750761,0,0.593267365,
13/07/2020,37.12,0.102892448,0,0.592362809,
16/07/2020,37.28,0.127096879,0,0.571858179,
17/07/2020,37.38,0.104945745,0,0.575991144,
18/07/2020,38.37,0.147448797,0,0.582365079,
19/07/2020,38.13,0.121408949,0,0.589799375,
20/07/2020,37.88,0.109002604,0,0.582016529,
23/07/2020,38.04,0.068342511,0,0.572282044,
24/07/2020,37.45,0.062092636,0,0.575335216,
25/07/2020,38.19,0.119079656,0,0.581106286,
26/07/2020,40.02,0.101120302,0,0.579975786,
27/07/2020,39.69,0.113061332,0,0.586532363,
30/07/2020,38.97,0.113987775,0,0.585710266,
31/07/2020,39.54,0.13049506,0,0.594566983,
01/08/2020,38.14,0.1217724,0,0.593810391,
02/08/2020,37.93,0.113680733,0,0.581539351,
03/08/2020,38.42,0.063512967,0,0.567692024,
06/08/2020,38.41,0.127068528,0,0.572091533,
07/08/2020,38.26,0.087819558,0,0.562899863,
08/08/2020,38.38,0.097301066,0,0.575406084,
09/08/2020,37.92,0.141352522,0,0.583853091,
10/08/2020,37.26,0.082835542,0,0.578266225,
13/08/2020,36.79,0.084362249,0,0.579684007,
14/08/2020,37.09,0.068961991,0,0.585425729,
15/08/2020,37.44,0.114737145,0,0.594123941,
16/08/2020,38.16,0.075518746,0,0.628228229,
17/08/2020,37.79,0.116137453,0,0.587381446,
20/08/2020,39.99,0.094584102,0,0.580433127,
21/08/2020,40.33,0.130413554,0,0.583028922,
22/08/2020,39.19,0.127628402,0,0.595549065,
23/08/2020,38.83,0.151442875,0,0.597010882,
24/08/2020,38.82,0.14508237,0,0.590382546,
27/08/2020,39.52,0.137844238,0,0.577953741,
28/08/2020,40.69,0.145424828,0,0.57747133,
29/08/2020,40.5,0.154256903,0,0.584019029,
30/08/2020,40.4,0.167164922,0,0.592271643,
31/08/2020,40.48,0.14680029,0,0.603504856,
04/09/2020,40.77,0.136143631,0,0.602324326,
05/09/2020,39.67,0.189428544,0,0.580903909,
06/09/2020,38.48,0.15324947,0,0.583569778,
07/09/2020,38.43,0.116977049,0,0.587494318,
10/09/2020,39.43,0.154322285,0,0.580806572,
11/09/2020,40.18,0.133014915,0,0.518537685,
12/09/2020,39.26,0.181784925,0,0.573180051,
13/09/2020,39.48,0.196611963,0,0.585045571,
14/09/2020,39.74,0.16577285,0,0.595470033,
17/09/2020,40.32,0.148718654,0,0.588541403,
18/09/2020,40.79,0.168103099,0,0.569558553,
19/09/2020,41.6,0.187342828,0,0.586890281,
20/09/2020,41.89,0.158556669,0,0.565253365,
21/09/2020,43.6,0.126141677,0,0.578143092,
24/09/2020,41.98,0.127809581,0,0.585412227,
25/09/2020,40.81,0.148514684,0,0.581629289,
26/09/2020,41.04,0.160237734,0,0.575331253,
27/09/2020,41.5,0.13944318,0,0.583478216,
28/09/2020,41.33,0.109853583,0,0.581620724,
01/10/2020,39.61,0.115033757,0,0.595318308,
02/10/2020,38.5,0.13331676,0,0.590403904,
03/10/2020,38.8,0.259971512,0,0.623003458,
04/10/2020,37.92,0.378798146,0,0.682921583,
05/10/2020,36.44,0.193181669,0,0.604454418,
08/10/2020,35.9,0.092738847,0,0.594559723,
09/10/2020,33.55,0.134665592,0,0.589281394,
10/10/2020,31.61,0.101939354,0,0.552102962,
11/10/2020,31.27,0.150594868,0,0.584848497,
12/10/2020,30.91,0.134489959,0,0.5944599,
15/10/2020,31.78,0.096208797,0,0.58340466,
16/10/2020,33.28,0.141437575,0,0.590061453,
17/10/2020,33.57,0.181419763,0,0.58610356,
18/10/2020,32.06,0.142809349,0,0.575537229,
19/10/2020,32.04,0.131556644,0,0.593905639,
22/10/2020,32.16,0.164545387,0,0.600308867,
23/10/2020,32.38,0.1705549,0,0.561517652,
24/10/2020,30.34,0.201919398,0,0.576669392,
25/10/2020,32.37,0.15145793,0,0.593842512,
26/10/2020,32.46,0.175355919,0,0.586026257,
29/10/2020,32.6,0.164394213,0,0.593287034,
30/10/2020,34.66,0.196523128,0,0.594130121,
31/10/2020,35.08,0.193367418,0,0.584847231,
01/11/2020,36.37,0.145576836,0,0.596403914,
02/11/2020,36.33,0.137763958,0,0.580711185,
05/11/2020,35.72,0.104971468,0,0.585790514,
06/11/2020,35.17,0.129963583,0,0.589775982,
07/11/2020,36.97,0.143051629,0,0.573085051,
08/11/2020,36.86,0.152702105,0,0.590744411,
09/11/2020,36.22,0.121147503,0,0.575868835,
12/11/2020,36.86,0.171394705,0,0.585438391,
13/11/2020,37.78,0.138911525,0,0.566057609,
14/11/2020,38.11,0.156692778,0,0.57429925,
15/11/2020,37.82,0.122654835,0,0.601030887,
16/11/2020,36.75,0.060511917,0,0.589811963,
19/11/2020,35.82,0.128867535,0,0.591112941,
20/11/2020,35.59,0.125357042,0,0.584263385,
21/11/2020,36.31,0.162498933,0,0.600088184,
23/11/2020,37.95,0.135193488,0,0.586337259,
26/11/2020,38.1,0.111819196,0,0.590058803,
27/11/2020,38.29,0.114596596,0,0.583349465,
28/11/2020,38.94,0.163228522,0,0.587021085,
29/11/2020,38.42,0.159384948,0,0.586098261,
30/11/2020,40.16,0.171114476,0,0.5803291,
03/12/2020,39.65,0.133562465,0,0.580407301,
